1  , 6.258976, 1.780286, 0.1830834, 0.08786126, 1.100904, 0.5407524, -6.936285, 1.51886, 0.2761642, -2666.447
2  , 6.207788, 1.823585, 0.185544,  0.07760262, 1.090348, 0.5382315, -6.93535, 1.520063, 0.2762245, -2665.715
3  , 6.176118, 1.850326, 0.1870821, 0.0713748, 1.083583, 0.5366454, -6.934721, 1.520716, 0.2762724, -2665.371
4  , 6.155457, 1.867951, 0.1880784, 0.06746518, 1.079451, 0.5356187, -6.934319, 1.521136, 0.2763029, -2665.192
5  , 6.141689, 1.879794, 0.1887378, 0.06493334, 1.076859, 0.5349409, -6.934075, 1.521393, 0.2763213, -2665.092
6  , 6.132406, 1.887823, 0.1891803, 0.06325862, 1.075184, 0.5344872, -6.933924, 1.521552, 0.2763326, -2665.033
7  , 6.126099, 1.893297, 0.18948,   0.06213526, 1.074078, 0.5341803, -6.933829, 1.521653, 0.2763397, -2664.996
8  , 6.121792, 1.897042, 0.1896842, 0.06137473, 1.073338, 0.5339714, -6.933767, 1.521718, 0.2763444, -2664.973
9  , 6.118842, 1.899613, 0.189824,  0.06085663, 1.072837, 0.5338286, -6.933726, 1.521762, 0.2763475, -2664.958
10 , 6.116815, 1.901379, 0.1899199, 0.06050218, 1.072496, 0.5337306, -6.933698, 1.521791, 0.2763496, -2664.947
11 , 6.11542,  1.902595, 0.1899858, 0.060259, 1.072263, 0.5336632, -6.933679, 1.521811, 0.276351, -2664.941
12 , 6.11446,  1.903433, 0.1900312, 0.06009184, 1.072103, 0.5336169, -6.933666, 1.521824, 0.2763519, -2664.936
13 , 6.113798, 1.904011, 0.1900625, 0.05997676, 1.071993, 0.5335849, -6.933658, 1.521833, 0.2763526, -2664.933
14 , 6.113342, 1.904409, 0.190084,  0.05989748, 1.071917, 0.5335629, -6.933652, 1.52184, 0.276353, -2664.931
15 , 6.113027, 1.904684, 0.1900989, 0.05984282, 1.071865, 0.5335477, -6.933648, 1.521844, 0.2763533, -2664.929
16 , 6.11281,  1.904874, 0.1901092, 0.05980511, 1.071829, 0.5335373, -6.933645, 1.521847, 0.2763536, -2664.928
17 , 6.11266,  1.905005, 0.1901163, 0.0597791, 1.071804, 0.53353, -6.933643, 1.521849, 0.2763537, -2664.928
18 , 6.112556, 1.905095, 0.1901212, 0.05976115, 1.071787, 0.533525, -6.933641, 1.521851, 0.2763538, -2664.927
19 , 6.112485, 1.905158, 0.1901245, 0.05974876, 1.071775, 0.5335216, -6.933641, 1.521852, 0.2763539, -2664.927
20 , 6.112436, 1.905201, 0.1901269, 0.05974021, 1.071767, 0.5335192, -6.93364, 1.521852, 0.2763539, -2664.927
21 , 6.112401, 1.905231, 0.1901285, 0.0597343, 1.071761, 0.5335176, -6.933639, 1.521853, 0.276354, -2664.926
22 , 6.112378, 1.905251, 0.1901296, 0.05973023, 1.071758, 0.5335164, -6.933639, 1.521853, 0.276354, -2664.926
23 , 6.112362, 1.905265, 0.1901303, 0.05972741, 1.071755, 0.5335157, -6.933639, 1.521853, 0.276354, -2664.926
24 , 6.112351, 1.905275, 0.1901309, 0.05972547, 1.071753, 0.5335151, -6.933639, 1.521853, 0.276354, -2664.926
25 , 6.112343, 1.905282, 0.1901312, 0.05972413, 1.071752, 0.5335147, -6.933639, 1.521854, 0.276354, -2664.926
26 , 6.112337, 1.905286, 0.1901315, 0.0597232, 1.071751, 0.5335145, -6.933639, 1.521854, 0.276354, -2664.926
27 , 6.112334, 1.90529, 0.1901317, 0.05972257, 1.07175, 0.5335143, -6.933639, 1.521854, 0.276354, -2664.926
28 , 6.112331, 1.905292, 0.1901318, 0.05972212, 1.07175, 0.5335142, -6.933639, 1.521854, 0.276354, -2664.926
